id,noise_type,noise_level,prompt_in,gold,pred,correct(0/1)
8_unicode_heavy,unicode,heavy,Which sеα lіes bеtween Jordan and Israel?,Dead Sea,Dead Sea,1
8_emoji_light,emoji,light,Which sea lies 🏔️ between Jordan and 🏝️ Israel?,Dead Sea,Dead,0
8_emoji_heavy,emoji,heavy,Which 🤔 sea lies 📍 between 📍 Jordan and ❓ Israel?,Dead Sea,Dead Sea,1
9_clean,clean,none,What is the largest lake on the African continent?,Lake Victoria,Lake Victoria,1
9_typos_light,typos,light,What is the largdst lake on the African dontinent?,Lake Victoria,Lake Victoria,1
9_typos_heavy,typos,heavy,What os the largesf lake on gbe African continent?,Lake Victoria,Lake Victoria,1
9_spacing_light,spacing,light,What is the largest lake  on the African continent? ,Lake Victoria,Lake Victoria,1
9_spacing_heavy,spacing,heavy,What   is  the   largest lake on  the African continent,Lake Victoria,Victoria,0
9_unicode_light,unicode,light,What is the largеst lake on thе African continent?,Lake Victoria,Lake Victoria,1
9_unicode_heavy,unicode,heavy,What is the largest lαkе on the Αfriсan continent?,Lake Victoria,Lake Victoria,1
9_emoji_light,emoji,light,What is the largest 🤔 lake on ⛰️ the African continent?,Lake Victoria,Lake Victoria,1
9_emoji_heavy,emoji,heavy,What 🌍 is the 🌍 largest lake on ⛰️ the African 🌋 continent?,Lake Victoria,Lake Victoria,1
10_clean,clean,none,Which mountain range contains K2?,Karakoram,Karakoram,1
10_typos_light,typos,light,Which mountqin range contaijs K2?,Karakoram,Karakoram,1
10_typos_heavy,typos,heavy,Which kountain rsngw contajns K2?,Karakoram,Cannot process query,0
10_spacing_light,spacing,light,Which  mountain  range contains K2,Karakoram,Karakoram,1
10_spacing_heavy,spacing,heavy,Which  mountain   range   contains K2,Karakoram,Karakoram,1
10_unicode_light,unicode,light,Whіch mоuntain range contains K2?,Karakoram,Pamirs,0
10_unicode_heavy,unicode,heavy,Whіch mountaіn rαnge contαins K2?,Karakoram,Karakoram,1
10_emoji_light,emoji,light,Which mountain 📍 range 🌊 contains K2?,Karakoram,Karakoram,1
10_emoji_heavy,emoji,heavy,Which 🌋 mountain 🗺️ range 🗺️ contains 🌊 K2?,Karakoram,Karakoram,1
11_clean,clean,none,What is the driest non-polar desert in the world?,Atacama Desert,Atacama Desert,1
11_typos_light,typos,light,Wnat is the drkest non-polar desert in the world?,Atacama Desert,Atacama Desert,1
11_typos_heavy,typos,heavy,What is the ddiest mob-polar deswrt in the world?,Atacama Desert,Atacama Desert,1
11_spacing_light,spacing,light,What is the driest   non-polar desert in the world,Atacama Desert,Atacama Desert,1
11_spacing_heavy,spacing,heavy,What  is  the  driest non-polar desert in   the world,Atacama Desert,Atacama Desert,1
11_unicode_light,unicode,light,What is the driеst nоn-polar desert in the world?,Atacama Desert,Atacama Desert,1
11_unicode_heavy,unicode,heavy,What іs the driеst nоn-polar desert in the wоrld?,Atacama Desert,Atacama Desert,1
11_emoji_light,emoji,light,What is the driest non-polar desert 🏔️ in 🤔 the world?,Atacama Desert,Atacama Desert (location unclear),0
11_emoji_heavy,emoji,heavy,What 📍 is 🌍 the ⛰️ driest non-polar desert in the ❓ world?,Atacama Desert,Atacama Desert,1
12_clean,clean,none,Which island nation is located in the Indian Ocean near Madagascar?,Mauritius,Mauritius,1
12_typos_light,typos,light,Which island nation is located ij the Indian Ofean near Madagascar?,Mauritius,Mauritius,1
12_typos_heavy,typos,heavy,Which iskand nation is located im the Ijdian Odean near Madagascar?,Mauritius,Mauritius,1
12_spacing_light,spacing,light,Which  island nation is located in the  Indian Ocean near Madagascar,Mauritius,Mauritius,1
12_spacing_heavy,spacing,heavy,Which   island   nation   is   located   in   the Indian  Ocean  near Madagascar,Mauritius,Comoros,0
12_unicode_light,unicode,light,Which island nation is locαted in the Indian Ocеan near Madagascar?,Mauritius,Mauritius,1
12_unicode_heavy,unicode,heavy,Which islαnd nation is locαted in the Indian Ocean nеar Madagasсar?,Mauritius,Mauritius,1
12_emoji_light,emoji,light,Which island nation is located 🌋 in the Indian Ocean ⛰️ near Madagascar?,Mauritius,Mauritius,1
12_emoji_heavy,emoji,heavy,Which island nation is located 🌋 in 🌋 the 🌊 Indian 🗺️ Ocean near Madagascar?,Mauritius,Mauritius,1
13_clean,clean,none,What is the longest river in Europe?,Volga River,Volga River,1
13_typos_light,typos,light,What is the longest river on Durope?,Volga River,Volga River,1
13_typos_heavy,typos,heavy,Ahat is the lonyest rkver in Eurppe?,Volga River,Volga River,1
13_spacing_light,spacing,light,What is the longest river  in Europe? ,Volga River,Volga River,1
13_spacing_heavy,spacing,heavy,What  is  the  longest  river   in Europe,Volga River,Volga River,1
13_unicode_light,unicode,light,What is thе longest river іn Europe?,Volga River,Dnieper River,0
13_unicode_heavy,unicode,heavy,What іs the longеst river in Еuroрe?,Volga River,Volga River,1
13_emoji_light,emoji,light,What is the longest river 📍 in 🏔️ Europe?,Volga River,Volga River,1
13_emoji_heavy,emoji,heavy,What 🌊 is 🌍 the 🌍 longest river in 🗺️ Europe?,Volga River,Cannot parse visual elements,0
14_clean,clean,none,Which country has the most time zones?,France,France,1
14_typos_light,typos,light,Which country has rhe mkst time zones?,France,France,1
14_typos_heavy,typos,heavy,Which country hqs the jodt time zomes?,France,France,1
14_spacing_light,spacing,light,Which country   has the most time zones,France,France,1
14_spacing_heavy,spacing,heavy,Which country has  the most time   zones,France,France,1
14_unicode_light,unicode,light,Whіch country has the mоst time zones?,France,France,1
14_unicode_heavy,unicode,heavy,Whiсh cоuntry has the mоst tіme zones?,France,France,1
14_emoji_light,emoji,light,Which country 🤔 has the 🤔 most time zones?,France,France,1
14_emoji_heavy,emoji,heavy,Which country has 🏝️ the 🤔 most 🌋 time 🤔 zones?,France,France,1
15_clean,clean,none,What is the name of the sea between Australia and New Zealand?,Tasman Sea,Tasman Sea,1
15_typos_light,typos,light,What is the nzme of the sea between Australia and New Zealznd?,Tasman Sea,Tasman Sea,1
15_typos_heavy,typos,heavy,What is the name of yue sea between Australia and Jew Zealamd?,Tasman Sea,Tasman Sea,1
15_spacing_light,spacing,light,What is  the name of the sea between  Australia and New Zealand,Tasman Sea,Tasman Sea,1
15_spacing_heavy,spacing,heavy,What is  the  name  of   the sea between Australia and  New   Zealand,Tasman Sea,Tasman Sea,1
15_unicode_light,unicode,light,What is thе name of thе sea between Australia and New Zealand?,Tasman Sea,Tasman Sea,1
15_unicode_heavy,unicode,heavy,What is the name of the sea betwеen Austrαlіa and Νew Zealand?,Tasman Sea,Tasman Sea,1
15_emoji_light,emoji,light,What 🌋 is the name of the sea 🌊 between Australia and New Zealand?,Tasman Sea,Tasman Sea,1
15_emoji_heavy,emoji,heavy,What ⛰️ is the name of the sea 🏔️ between Australia and 🌍 New 🏝️ Zealand?,Tasman Sea,Tasman Sea,1
16_clean,clean,none,Which African country was formerly known as Abyssinia?,Ethiopia,Ethiopia,1
16_typos_light,typos,light,Which African country was fotmsrly known as Abyssinia?,Ethiopia,Ethiopia,1
16_typos_heavy,typos,heavy,Which African coyntdy was formefly kmown as Abyssinia?,Ethiopia,Ethiopia,1
16_spacing_light,spacing,light,Which African country  was formerly known as Abyssinia? ,Ethiopia,Ethiopia,1
16_spacing_heavy,spacing,heavy,Which   African   country was  formerly   known   as   Abyssinia,Ethiopia,Ethiopia,1
16_unicode_light,unicode,light,Which Αfrican country was formerly knоwn as Abyssinia?,Ethiopia,Ethiopia,1
16_unicode_heavy,unicode,heavy,Whiсh Afriсαn country was formerly known αs Abyssinia?,Ethiopia,Somalia,0
16_emoji_light,emoji,light,Which African country 🌊 was 🏔️ formerly known as Abyssinia?,Ethiopia,Ethiopia,1
16_emoji_heavy,emoji,heavy,Which African country 📍 was ⛰️ formerly known 🌋 as ⛰️ Abyssinia?,Ethiopia,Ethiopia,1
17_clean,clean,none,What is the highest waterfall in the world?,Angel Falls,Angel Falls,1
17_typos_light,typos,light,Wuat is the highest waterfall in the qorld?,Angel Falls,Angel Falls,1
17_typos_heavy,typos,heavy,Wbst os the highewt waterfall in the world?,Angel Falls,Angel Falls,1
17_spacing_light,spacing,light,What is the  highest  waterfall in the world?,Angel Falls,Angel Falls,1
17_spacing_heavy,spacing,heavy,What   is the   highest waterfall  in   the  world,Angel Falls,Angel Falls,1
17_unicode_light,unicode,light,What is thе highest waterfall in thе world?,Angel Falls,Angel Falls,1
17_unicode_heavy,unicode,heavy,What іs thе highеst waterfall in thе world?,Angel Falls,Angel Falls,1
17_emoji_light,emoji,light,What ⛰️ is the highest waterfall 🌍 in the world?,Angel Falls,Angel Falls,1
17_emoji_heavy,emoji,heavy,What is the highest 🌊 waterfall ❓ in 📍 the 🌊 world?,Angel Falls,Angel Falls,1
18_clean,clean,none,Which strait connects the Mediterranean Sea to the Atlantic Ocean?,Strait of Gibraltar,Strait of Gibraltar,1
18_typos_light,typos,light,Which sgrait connects the Mediterranean Sea to the Arlantic Ocean?,Strait of Gibraltar,Strait of Gibraltar,1
18_typos_heavy,typos,heavy,Whuch strait connects the Kediterranean Sda to the Atlantiv Ocean?,Strait of Gibraltar,Strait of Gibraltar,1
18_spacing_light,spacing,light,Which  strait connects the Mediterranean Sea  to the Atlantic Ocean,Strait of Gibraltar,Strait of Gibraltar,1
18_spacing_heavy,spacing,heavy,Which  strait connects  the  Mediterranean   Sea  to   the Atlantic  Ocean,Strait of Gibraltar,Strait of Gibraltar,1
18_unicode_light,unicode,light,Which strait connects the Mediterranean Sеa to the Atlantiс Ocean?,Strait of Gibraltar,Bosphorus,0
18_unicode_heavy,unicode,heavy,Which strait connects thе Mediterranean Sea to thе Αtlantic Oсean?,Strait of Gibraltar,Strait of Gibraltar,1
18_emoji_light,emoji,light,Which strait connects the Mediterranean Sea to the 🌋 Atlantic 🏝️ Ocean?,Strait of Gibraltar,Strait of Gibraltar,1
18_emoji_heavy,emoji,heavy,Which strait 🌊 connects the Mediterranean 🏝️ Sea ⛰️ to 📍 the Atlantic Ocean?,Strait of Gibraltar,Strait of Gibraltar,1
19_clean,clean,none,What is the largest island in the Mediterranean Sea?,Sicily,Sicily,1
19_typos_light,typos,light,What is the largest island in the Meciterramean Sea?,Sicily,Sicily,1
19_typos_heavy,typos,heavy,Wjat is the largest islaje in the Mediyerranean Sea?,Sicily,Sicily,1
19_spacing_light,spacing,light,What is the largest island  in  the Mediterranean Sea?,Sicily,Sicily,1
19_spacing_heavy,spacing,heavy,What   is   the  largest   island in   the Mediterranean Sea,Sicily,Format error,0
19_unicode_light,unicode,light,What is the largest island in the Mediterrαneαn Sea?,Sicily,Sicily,1
19_unicode_heavy,unicode,heavy,What is the largest island іn the Mеditerraneαn Seα?,Sicily,Sicily,1
19_emoji_light,emoji,light,What is the largest 📍 island in the Mediterranean 🌍 Sea?,Sicily,Sicily,1
19_emoji_heavy,emoji,heavy,What is 🏝️ the largest 🏔️ island ❓ in the ⛰️ Mediterranean Sea?,Sicily,Sicily,1
20_clean,clean,none,Which country contains the Okavango Delta?,Botswana,Botswana,1
20_typos_light,typos,light,Which country contains the Okavango Deotw?,Botswana,Botswana,1
20_typos_heavy,typos,heavy,Which country contains tud Okavanto Deltw?,Botswana,Botswana,1
20_spacing_light,spacing,light,Which  country contains the Okavango Delta? ,Botswana,Botswana,1
20_spacing_heavy,spacing,heavy,Which country   contains   the   Okavango Delta,Botswana,Botswana,1
20_unicode_light,unicode,light,Which country cоntains the Okαvango Delta?,Botswana,Unrecognized location,0
20_unicode_heavy,unicode,heavy,Which countrу contains thе Okαvango Deltα?,Botswana,,0
20_emoji_light,emoji,light,Which country contains 🌊 the Okavango 📍 Delta?,Botswana,Botswana,1
20_emoji_heavy,emoji,heavy,Which 🗺️ country 🤔 contains 🌍 the ⛰️ Okavango Delta?,Botswana,Botswana,1
21_clean,clean,none,What is the deepest lake in the world?,Lake Baikal,Lake Baikal,1
21_typos_light,typos,light,Wbat is thw deepest lake in the world?,Lake Baikal,Lake Baikal,1
21_typos_heavy,typos,heavy,What us the feepest lake kn rhe world?,Lake Baikal,Lake Baikal,1
21_spacing_light,spacing,light,What is the deepest lake in the world?  ,Lake Baikal,Lake Baikal,1
21_spacing_heavy,spacing,heavy,What is the  deepest  lake in the  world,Lake Baikal,Lake Baikal,1
21_unicode_light,unicode,light,What іs the deepest lake іn the world?,Lake Baikal,Lake Baikal,1
21_unicode_heavy,unicode,heavy,Whαt is thе deepest lake in thе wоrld?,Lake Baikal,Lake Baikal,1
21_emoji_light,emoji,light,What is 📍 the deepest lake ⛰️ in the world?,Lake Baikal,Lake Baikal,1
21_emoji_heavy,emoji,heavy,What 🌊 is ❓ the deepest ❓ lake ❓ in the world?,Lake Baikal,Lake Baikal,1
22_clean,clean,none,Which mountain range separates Europe from Asia?,Ural Mountains,Ural Mountains,1
22_typos_light,typos,light,Which mountain range separafes Europe grom Asia?,Ural Mountains,Ural Mountains,1
22_typos_heavy,typos,heavy,Which mountain range swparates Rurope frok Ssia?,Ural Mountains,Unknown location,0
22_spacing_light,spacing,light,Which mountain  range  separates Europe from Asia,Ural Mountains,Ural Mountains,1
22_spacing_heavy,spacing,heavy,Which mountain range separates   Europe from Asia,Ural Mountains,Ural Mountains,1
22_unicode_light,unicode,light,Which mountain range separates Eurорe from Asia?,Ural Mountains,Ural Mountains,1
22_unicode_heavy,unicode,heavy,Whiсh mountain range sepαrates Europе from Asiα?,Ural Mountains,Ural Mountains,1
22_emoji_light,emoji,light,Which mountain 🏝️ range ⛰️ separates Europe from Asia?,Ural Mountains,Ural Mountains,1
22_emoji_heavy,emoji,heavy,Which 📍 mountain 🌋 range 🌊 separates ❓ Europe from Asia?,Ural Mountains,Ural Mountains,1
23_clean,clean,none,What is the smallest ocean in the world?,Arctic Ocean,Arctic Ocean,1
23_typos_light,typos,light,What is the wmalldst ocean in the world?,Arctic Ocean,Arctic Ocean,1
23_typos_heavy,typos,heavy,Whaf ks the snallest ocsan in the world?,Arctic Ocean,Pacific Ocean,0
23_spacing_light,spacing,light,What is the smallest ocean  in the  world,Arctic Ocean,Arctic Ocean,1
23_spacing_heavy,spacing,heavy,What   is   the  smallest  ocean in   the world,Arctic Ocean,Arctic Ocean,1
23_unicode_light,unicode,light,What is the smallest оcean in the wоrld?,Arctic Ocean,Arctic Ocean,1
23_unicode_heavy,unicode,heavy,Whαt іs the smallеst ocean іn the world?,Arctic Ocean,Arctic Ocean,1
23_emoji_light,emoji,light,What is ❓ the smallest ocean in ❓ the world?,Arctic Ocean,Arctic Ocean,1
23_emoji_heavy,emoji,heavy,What 🏝️ is the 🤔 smallest ocean in 🏝️ the 🗺️ world?,Arctic Ocean,Arctic Ocean,1
24_clean,clean,none,Which country has the most UNESCO World Heritage Sites?,Italy,Italy,1
24_typos_light,typos,light,Which countrg has ths most UNESCO World Heritage Sites?,Italy,Italy,1
24_typos_heavy,typos,heavy,Which fountry has the most YNESDO Wofld Heritage Sites?,Italy,Italy,1
24_spacing_light,spacing,light,Which country has the most UNESCO  World  Heritage Sites,Italy,Italy,1
24_spacing_heavy,spacing,heavy,Which  country   has  the   most UNESCO  World Heritage  Sites,Italy,Italy,1
24_unicode_light,unicode,light,Which cоuntry has the most UNESСO World Heritage Sites?,Italy,Italy,1
24_unicode_heavy,unicode,heavy,Whіch country has the most UNESCO Wоrld Hеritαge Sites?,Italy,Italy,1
24_emoji_light,emoji,light,Which 🤔 country has the most UNESCO World 🌊 Heritage Sites?,Italy,Italy,1
24_emoji_heavy,emoji,heavy,Which country has the 🤔 most ⛰️ UNESCO 🌊 World Heritage 🌍 Sites?,Italy,Italy,1
25_clean,clean,none,What is the longest mountain range in the world?,Andes,Andes,1
25_typos_light,typos,light,What is ths longest mohntain range in the world?,Andes,Andes,1
25_typos_heavy,typos,heavy,Wyat is tne longesr mountain range in the worlr?,Andes,Andes,1
25_spacing_light,spacing,light,What is the longest mountain range in  the world? ,Andes,Andes,1
25_spacing_heavy,spacing,heavy,What is  the longest   mountain range  in   the  world,Andes,Andes,1
25_unicode_light,unicode,light,What is the longеst mountain range in thе world?,Andes,Rocky Mountains,0
25_unicode_heavy,unicode,heavy,What is the lоngest mountαіn range in thе world?,Andes,Andes,1
25_emoji_light,emoji,light,What is the longest mountain 🌋 range in the 🗺️ world?,Andes,Andes,1
25_emoji_heavy,emoji,heavy,What is 🏔️ the longest 🌋 mountain ⛰️ range in 📍 the world?,Andes,Himalayas,0
26_clean,clean,none,Which sea is located between Greece and Turkey?,Aegean Sea,Mediterranean Sea,0
26_typos_light,typos,light,Which sea is located hetween Greece ans Turkey?,Aegean Sea,Aegean Sea,1
26_typos_heavy,typos,heavy,Which sea ie located befween Greece ajd Turksy?,Aegean Sea,Aegean Sea,1
26_spacing_light,spacing,light,Which sea is located between Greece and  Turkey? ,Aegean Sea,Aegean Sea,1
26_spacing_heavy,spacing,heavy,Which sea   is located   between  Greece and  Turkey,Aegean Sea,Aegean Sea,1
26_unicode_light,unicode,light,Which sea is located betwеen Greecе and Turkey?,Aegean Sea,Aegean Sea,1
26_unicode_heavy,unicode,heavy,Which sea іs located between Grеecе and Turkeу?,Aegean Sea,Aegean Sea,1
26_emoji_light,emoji,light,Which ❓ sea 🤔 is located between Greece and Turkey?,Aegean Sea,Aegean Sea,1
26_emoji_heavy,emoji,heavy,Which 🗺️ sea is 🌍 located 🏝️ between Greece 🤔 and Turkey?,Aegean Sea,Aegean Sea,1
27_clean,clean,none,What is the largest salt flat in the world?,Salar de Uyuni,Salar de Uyuni,1
27_typos_light,typos,light,What is the oargest salt flat in rhe world?,Salar de Uyuni,Salar de Uyuni,1
27_typos_heavy,typos,heavy,What ie the largest ealt fpat im the world?,Salar de Uyuni,Salar de Uyuni,1
27_spacing_light,spacing,light,What is the largest salt flat in the  world? ,Salar de Uyuni,Salar de Uyuni,1
27_spacing_heavy,spacing,heavy,What is the   largest   salt  flat in   the world,Salar de Uyuni,Salar de Uyuni,1
27_unicode_light,unicode,light,What іs the largest salt flat in the wоrld?,Salar de Uyuni,Salar de Uyuni,1
27_unicode_heavy,unicode,heavy,Whαt is thе largеst salt flat іn the world?,Salar de Uyuni,Salar de Uyuni,1
27_emoji_light,emoji,light,What ⛰️ is the 🌍 largest salt flat in the world?,Salar de Uyuni,Salar de Uyuni,1
27_emoji_heavy,emoji,heavy,What is ❓ the 🌋 largest 🤔 salt flat 🌊 in the world?,Salar de Uyuni,Salar de Uyuni,1
28_clean,clean,none,Which river flows through Baghdad?,Tigris River,Tigris River,1
28_typos_light,typos,light,Which river flows througy Bagydad?,Tigris River,Tigris River,1
28_typos_heavy,typos,heavy,Whoch diver flows throhgh Baghdqd?,Tigris River,Tigris River,1
28_spacing_light,spacing,light,Which river  flows through  Baghdad,Tigris River,Tigris River,1
28_spacing_heavy,spacing,heavy,Which  river  flows   through Baghdad,Tigris River,Tigris River,1
28_unicode_light,unicode,light,Which rіver flоws through Baghdad?,Tigris River,Tigris River,1
28_unicode_heavy,unicode,heavy,Whiсh rіver flоws through Bαghdad?,Tigris River,Tigris River,1
28_emoji_light,emoji,light,Which river flows ⛰️ through 🌋 Baghdad?,Tigris River,Tigris River,1
28_emoji_heavy,emoji,heavy,Which 🌋 river 🌊 flows 📍 through 🏝️ Baghdad?,Tigris River,Tigris River,1
29_clean,clean,none,What is the highest capital city in the world?,La Paz,La Paz,1
29_typos_light,typos,light,What is the highest capitao city in the worlc?,La Paz,La Paz,1
29_typos_heavy,typos,heavy,Wbat is the highest czoital ciry in the world?,La Paz,La Paz,1
29_spacing_light,spacing,light,What is the highest  capital  city in the world,La Paz,La Paz,1
29_spacing_heavy,spacing,heavy,What  is the   highest capital   city  in   the   world,La Paz,La Paz,1
29_unicode_light,unicode,light,What is the highеst capital сity in the world?,La Paz,La Paz,1
29_unicode_heavy,unicode,heavy,What is the hіghest capital сity іn thе world?,La Paz,La Paz,1
29_emoji_light,emoji,light,What 🌍 is the 🏝️ highest capital city in the world?,La Paz,La Paz,1
29_emoji_heavy,emoji,heavy,What 🗺️ is 🌋 the highest capital city 🏔️ in the ⛰️ world?,La Paz,L* P*z,0
30_clean,clean,none,Which archipelago includes Java and Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
30_typos_light,typos,light,Which arcuipepago includes Java and Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
30_typos_heavy,typos,heavy,Which archilelago ijcludes Java and Shjatra?,Indonesian Archipelago,Philippine Archipelago,0
